countA;countB;countC;desksCount;days
52; // amount of configurations;;;
2;2;18;70;249
2;2;18;80;249
2;2;18;90;249
4;4;25;60;249
4;4;25;70;249
4;4;25;80;249
6;6;30;60;249
6;6;30;70;249
6;6;30;80;249
7;6;35;50;249
7;6;35;60;249
7;6;35;70;249
7;6;35;80;249
10;10;40;50;249
10;10;40;60;249
10;10;40;70;249
15;10;35;50;249
15;10;35;60;249
15;10;35;70;249
7;6;36;50;249
7;6;36;60;249
7;6;36;70;249
8;7;36;50;249
8;7;36;60;249
8;7;36;70;249
6;6;37;50;249
6;6;37;60;249
6;6;37;70;249
6;5;38;50;249
6;5;38;60;249
6;5;38;70;249
5;5;39;50;249
5;5;39;60;249
5;5;39;70;249
6;5;38;50;249
6;5;38;55;249
6;5;38;58;249
6;5;38;59;249
6;5;38;60;249
6;5;38;70;249
7;5;38;50;249
7;5;38;55;249
7;5;38;58;249
7;5;39;60;249
6;5;39;50;249
6;5;39;55;249
6;5;39;60;249
8;6;40;55;249
8;6;40;60;249
8;6;40;65;249
10;8;40;55;249
10;8;40;60;249
